node;isolate_number;strain;reference;node_color;OIU;OIU_color;OIU_node_line_color;node_line_color;node_line_width;node_size
S0743_E24_LINEAR_1;;R-33878;No; #88486d;13;#eebc7c;#000000;#000000;1;10
S0743_P14_LINEAR_1;;LMG 11969;No; #80bf80;33;#8e4d0e;#000000;#000000;1;10
S0742_M20_LINEAR_1;;R-33878;No; #88486d;16;#905484;#000000;#000000;1;10
S0743_A7_LINEAR_1;;R-33878;No; #88486d;13;#eebc7c;#000000;#000000;1;10
S0742_M7_LINEAR_1;;LMG 11988;No; #4501bc;16;#905484;#000000;#000000;1;10
S0743_A8_LINEAR_1;;R-33878;No; #88486d;13;#eebc7c;#000000;#000000;1;10
S0743_P20_LINEAR_1;;R-33878;No; #88486d;13;#eebc7c;#000000;#000000;1;10
S0742_N8_LINEAR_1;;LMG 11988;No; #4501bc;16;#905484;#000000;#000000;1;10
S0742_F15_LINEAR_1;;R-53271;No; #b701a5;20;#6dada4;#000000;#000000;1;10
S0742_F16_LINEAR_1;;R-53271;No; #b701a5;20;#6dada4;#000000;#000000;1;10
S0742_B10_LINEAR_1;;LMG 11401;No; #d08a66;19;#096887;#000000;#000000;1;10
S0743_E23_LINEAR_1;;R-33878;No; #88486d;13;#eebc7c;#000000;#000000;1;10
S0743_O20_LINEAR_1;;R-33878;No; #88486d;13;#eebc7c;#000000;#000000;1;10
S0742_E11_LINEAR_1;;R-47349;No; #0e025e;28;#ff0080;#000000;#000000;1;10
S0742_G6_LINEAR_1;;LMG 11401;No; #d08a66;22;#ff0000;#000000;#000000;1;10
S0743_C24_LINEAR_1;;LMG 11437;No; #ff00ff;27;#11b415;#000000;#000000;1;10
S0743_P5_LINEAR_1;;LMG 11437;No; #ff00ff;27;#11b415;#000000;#000000;1;10
S0743_O5_LINEAR_1;;LMG 11437;No; #ff00ff;27;#11b415;#000000;#000000;1;10
S0742_L11_LINEAR_1;;R-53271;No; #b701a5;20;#6dada4;#000000;#000000;1;10
S0742_K12_LINEAR_1;;R-53271;No; #b701a5;20;#6dada4;#000000;#000000;1;10
S0742_O22_LINEAR_1;;R-53271;No; #b701a5;20;#6dada4;#000000;#000000;1;10
S0742_K11_LINEAR_1;;R-53271;No; #b701a5;20;#6dada4;#000000;#000000;1;10
S0742_O21_LINEAR_1;;R-53271;No; #b701a5;20;#6dada4;#000000;#000000;1;10
