peak_location;start_window;end_window
2185.36;2135.22;2235.64
2185.8;2135.65;2236.08
2186.24;2136.09;2236.53
2186.69;2136.53;2236.98
2187.13;2136.97;2237.43
2187.57;2137.4;2237.87
2188.01;2137.84;2238.32
2188.46;2138.28;2238.77
2188.9;2138.72;2239.22
2189.34;2139.15;2239.66
2189.78;2139.59;2240.11
2190.23;2140.03;2240.56
2190.67;2140.47;2241.01
2191.11;2140.9;2241.46
2191.56;2141.34;2241.9
2192;2141.78;2242.35
2192.44;2142.22;2242.8
2192.89;2142.66;2243.25
2193.33;2143.09;2243.7
2193.77;2143.53;2244.15
2194.21;2143.97;2244.59
2194.66;2144.41;2245.04
2195.1;2144.85;2245.49
2195.54;2145.29;2245.94
2195.99;2145.72;2246.39
2196.43;2146.16;2246.84
2196.88;2146.6;2247.28
2197.32;2147.04;2247.73
2197.76;2147.48;2248.18
2198.21;2147.92;2248.63
2198.65;2148.36;2249.08
2199.09;2148.79;2249.53
2199.54;2149.23;2249.98
2199.98;2149.67;2250.43
2200.43;2150.11;2250.88
2200.87;2150.55;2250.88
2201.31;2150.99;2251.32
2201.76;2151.43;2251.77
2202.2;2151.87;2252.22
2202.65;2152.3;2252.67
2203.09;2152.74;2253.12
2203.53;2153.18;2253.57
2203.98;2153.62;2254.02
2204.42;2154.06;2254.47
2204.87;2154.5;2254.92
2205.31;2154.94;2255.37
2205.76;2155.38;2255.82
2206.2;2155.82;2256.27
2206.64;2156.26;2256.72
2207.09;2156.7;2257.17
2207.53;2157.14;2257.62
2207.98;2157.58;2258.06
2208.42;2158.02;2258.51
2208.87;2158.46;2258.96
2209.31;2158.89;2259.41
2209.76;2159.33;2259.86
2210.2;2159.77;2260.31
2210.65;2160.21;2260.76
2211.09;2160.65;2261.21
2211.54;2161.53;2261.66
2211.98;2161.97;2262.11
2212.43;2162.41;2262.56
2212.87;2162.85;2263.01
2213.32;2163.29;2263.46
2213.76;2163.73;2263.92
2214.21;2164.17;2264.37
2214.65;2164.61;2264.82
2215.1;2165.06;2265.27
2215.54;2165.5;2265.72
2215.99;2165.94;2266.17
2216.44;2166.38;2266.62
2216.88;2166.82;2267.07
2217.33;2167.26;2267.52
2217.77;2167.7;2267.97
2218.22;2168.14;2268.42
2218.66;2168.58;2268.87
2219.11;2169.02;2269.32
2219.56;2169.46;2269.77
2220;2169.9;2270.22
2220.45;2170.34;2270.67
2220.89;2170.78;2271.13
2221.34;2171.22;2271.58
2221.79;2171.67;2272.03
2222.23;2172.11;2272.48
2222.68;2172.55;2272.93
2223.12;2172.99;2273.38
2223.57;2173.43;2273.83
2224.02;2173.87;2274.28
2224.46;2174.31;2274.74
2224.91;2174.75;2275.19
2225.36;2175.19;2275.64
2225.8;2175.64;2276.09
2226.25;2176.08;2276.54
2226.69;2176.52;2276.99
2227.14;2176.96;2277.44
2227.59;2177.4;2277.9
2228.03;2177.84;2278.35
2228.48;2178.29;2278.8
2228.93;2178.73;2279.25
2229.38;2179.17;2279.7
2229.82;2179.61;2280.16
2230.27;2180.05;2280.61
2230.72;2180.49;2281.06
